Endpoint,Parameter Name,Location,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Required,increase_openapi - Required,q2_openapi - Required,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
GET /card_payments,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_payments,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_payments,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_payments,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_payments,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_payments,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /card_payments/{card_payment_id},card_payment_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /card_purchase_supplements,card_payment_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_purchase_supplements,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_purchase_supplements,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_purchase_supplements,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_purchase_supplements,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_purchase_supplements,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_purchase_supplements,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /card_purchase_supplements/{card_purchase_supplement_id},card_purchase_supplement_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /card_push_transfers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /card_push_transfers/{card_push_transfer_id},card_push_transfer_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /card_tokens,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_tokens,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_tokens,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_tokens,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_tokens,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_tokens,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /card_tokens/{card_token_id},card_token_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /card_tokens/{card_token_id}/capabilities,card_token_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /card_validations,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /card_validations/{card_validation_id},card_validation_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /cards,account_id,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /cards,created_at.after,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /cards,created_at.before,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /cards,created_at.on_or_after,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /cards,created_at.on_or_before,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /cards,cursor,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /cards,filter,query,object,✗,N/A,No,No,N/A,,✗,N/A
GET /cards,idempotency_key,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /cards,include,query,string,✗,N/A,No,No,N/A,,✗,N/A
GET /cards,limit,query,✗,integer,N/A,No,No,N/A,✗,,N/A
GET /cards,page,query,object,✗,N/A,No,No,N/A,,✗,N/A
GET /cards,sort,query,string,✗,N/A,No,No,N/A,,✗,N/A
GET /cards,status.in,query,✗,array,N/A,No,No,N/A,✗,,N/A
GET /cards/{cardId},cardId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the card to get,N/A,N/A
GET /cards/{cardId},included,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /cards/{cardId}/limits,cardId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the card to get,N/A,N/A
GET /cards/{cardId}/secure-data/pin/status,cardId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the card to get PIN status,N/A,N/A
GET /cards/{card_id},card_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /cards/{card_id}/details,card_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /cash-deposits/barcodes/{barcodeNumber}/image,barcodeNumber,path,string,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
GET /check-deposits,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /check-deposits,include,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /check-deposits,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /check-deposits,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /check-deposits/{checkDepositId},checkDepositId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the check deposit to get,N/A,N/A
GET /check-deposits/{checkDepositId}/back,checkDepositId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the check deposit to get,N/A,N/A
GET /check-deposits/{checkDepositId}/front,checkDepositId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the check deposit to get,N/A,N/A
GET /check-payments,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /check-payments,include,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /check-payments,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /check-payments,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /check-payments/{checkPaymentId},checkPaymentId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the check payment to get,N/A,N/A
GET /check-payments/{checkPaymentId}/back,checkPaymentId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the check payment,N/A,N/A
GET /check-payments/{checkPaymentId}/front,checkPaymentId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the check payment,N/A,N/A
GET /check_deposits,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_deposits,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_deposits,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_deposits,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_deposits,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_deposits,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_deposits,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_deposits,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /check_deposits/{check_deposit_id},check_deposit_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /check_transfers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /check_transfers/{check_transfer_id},check_transfer_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /counterparties,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /counterparties,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /counterparties,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /counterparties/{counterpartyId},counterpartyId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the counterparty to get,N/A,N/A
GET /counterparties/{counterpartyId}/balance,counterpartyId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the counterparty to get,N/A,N/A
GET /customer/answerList/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
