Endpoint,Status Code,Content-Type,Property Name,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
POST /accounts/{accountId}/reopen,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/reopen,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/reopen,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/reopen,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/reopen,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/reopen,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/reopen,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/reopen,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/unfreeze,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/unfreeze,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/unfreeze,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/unfreeze,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/unfreeze,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/unfreeze,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/unfreeze,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/unfreeze,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
POST /application-forms,201,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
POST /applications,201,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
POST /applications,201,application/vnd.api+json,included,array,N/A,N/A,,N/A,N/A
POST /applications/{applicationId}/cancel,201,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
POST /applications/{applicationId}/cancel,201,application/vnd.api+json,included,array,N/A,N/A,,N/A,N/A
POST /authorization-requests/{authorizationId}/approve,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /authorization-requests/{authorizationId}/decline,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /cards,201,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /cards/{cardId}/close,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /cards/{cardId}/freeze,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /cards/{cardId}/replace,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /cards/{cardId}/report-lost,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /cards/{cardId}/report-stolen,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /cards/{cardId}/unfreeze,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /cash-deposits/barcodes,201,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
